rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)
phylum	25	3.6135812737402255	1803.2005910059563	0.2910530031556667	1.0	1.0	1.0	3.0	0.0	0.0	6.0	0.8333333333333334	0.7934805005845132	0.44284989933742	0.14552650157783334	0.8333333333333334	0.9090909090909091	5.0	1.0
phylum	26	3.6135812737402255	1803.2005910059563	0.3752055235674529	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.5352349002432458	0.33256014171665754	0.18760276178372642	1.0	1.0	5.0	0.0
phylum	27	3.6135812737402255	1803.2005910059563	0.0968874322764874	1.0	1.0	1.0	4.0	0.0	0.0	5.0	1.0	0.9863674677127428	0.6128645660030271	0.0484437161382437	1.0	1.0	5.0	0.0
phylum	29	3.6135812737402255	1803.2005910059563	0.15189569815144624	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.6115864276533824	0.3800000130035612	0.07594784907572312	1.0	1.0	5.0	0.0
phylum	35	3.6135812737402255	1803.2005910059563	0.12275989672990523	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.2560361274826487	0.23305412666833647	0.06137994836495262	1.0	0.8571428571428571	3.0	0.0
phylum	30	3.6135812737402255	1803.2005910059563	0.058413125797239146	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.7446751987661308	0.4626927158935198	0.029206562898619573	1.0	1.0	5.0	0.0
phylum	31	3.6135812737402255	1803.2005910059563	0.25681744583894917	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.7619795612230684	0.47344452080829696	0.12840872291947458	1.0	1.0	5.0	0.0
phylum	32	3.6135812737402255	1803.2005910059563	0.04976930861482457	1.0	1.0	1.0	2.0	0.0	0.0	5.0	1.0	0.22478212551963148	0.13966498724991067	0.024884654307412286	1.0	1.0	5.0	0.0
phylum	33	3.6135812737402255	1803.2005910059563	0.03550879497741059	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.7972930128853567	0.4953860019859589	0.017754397488705297	1.0	1.0	5.0	0.0
phylum	34	3.6135812737402255	1803.2005910059563	0.035032427159413154	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	0.7735641069531781	0.5580085504555249	0.017516213579706577	1.0	1.0	4.0	0.0
phylum	24	3.6135812737402255	1803.2005910059563	0.27207461500684404	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.9578367596937432	0.5951374404031026	0.13603730750342202	1.0	1.0	5.0	0.0
phylum	3	3.6135812737402255	1803.2005910059563	0.3441914334626954	0.8	1.0	0.888888888888889	3.0	0.0	1.0	4.0	0.8	0.7026036973261761	0.5068214349213622	0.1720957167313477	1.0	0.888888888888889	4.0	0.0
phylum	23	3.6135812737402255	1803.2005910059563	0.10736606082723509	1.0	1.0	1.0	4.0	0.0	0.0	5.0	1.0	0.505994265816794	0.3143919140388165	0.05368303041361754	1.0	1.0	5.0	0.0
phylum	1	3.6135812737402255	1803.2005910059563	0.32040884243284085	0.75	1.0	0.8571428571428571	2.0	0.0	1.0	3.0	0.75	0.6875104352657229	0.6257989668941519	0.16020442121642042	1.0	0.8571428571428571	3.0	0.0
phylum	21	3.6135812737402255	1803.2005910059563	0.20830332301011187	1.0	1.0	1.0	4.0	0.0	0.0	5.0	0.8	0.8883999848771453	0.5519939464664012	0.10415166150505593	0.8	0.888888888888889	4.0	1.0
phylum	20	3.6135812737402255	1803.2005910059563	0.06933488346587369	0.8	1.0	0.888888888888889	2.0	0.0	1.0	4.0	0.8	0.17626092469451046	0.12714538097963665	0.03466744173293684	1.0	0.888888888888889	4.0	0.0
phylum	2	3.6135812737402255	1803.2005910059563	0.06718749416026938	0.8571428571428571	1.0	0.923076923076923	4.0	0.0	1.0	6.0	0.8571428571428571	0.46341939397633847	0.25863928832813354	0.0335937470801347	1.0	0.923076923076923	6.0	0.0
phylum	19	3.6135812737402255	1803.2005910059563	0.0808636094372942	1.0	1.0	1.0	2.0	0.0	0.0	4.0	1.0	0.2596628271945006	0.18730713654835696	0.040431804718647095	1.0	1.0	4.0	0.0
phylum	18	3.6135812737402255	1803.2005910059563	0.0549033045075885	1.0	1.0	1.0	2.0	0.0	0.0	5.0	1.0	0.09480847080402652	0.05890781500271669	0.02745165225379425	1.0	1.0	5.0	0.0
